Operation,Iteration,Latency(ms),Gas,TPS
STORE,1,214.24970000000008,274289,4.667451109616488
STORE,2,142.95079999999984,274289,6.99541380670833
STORE,3,97.45029999999997,274289,10.261641062161946
STORE,4,101.3619000000001,274289,9.865639850870977
STORE,5,98.25260000000003,274289,10.177847710900268
STORE,6,117.57790000000023,274289,8.504999664052496
STORE,7,98.26539999999977,274289,10.176521949740216
STORE,8,99.88430000000017,274289,10.011583401996093
STORE,9,99.57069999999976,274289,10.043115093094679
STORE,10,96.42360000000008,274289,10.370905048141733
STORE,11,103.9097999999999,274289,9.623731351614582
STORE,12,116.82119999999986,274289,8.5600901206288
STORE,13,89.53200000000015,274289,11.16919090381091
STORE,14,108.5930000000003,274289,9.208696693156991
STORE,15,82.40149999999994,274289,12.135701413202439
STORE,16,106.12639999999965,274289,9.422726107735713
STORE,17,126.6845000000003,274289,7.893625502725255
STORE,18,90.13349999999991,274289,11.09465404095038
STORE,19,92.20589999999993,274289,10.84529298016722
STORE,20,91.58559999999989,274289,10.91874705193831
STORE,21,93.57189999999991,274289,10.686969058018496
STORE,22,95.93600000000015,274289,10.423615743829203
STORE,23,75.8798999999999,274289,13.178720583448333
STORE,24,110.0963999999999,274289,9.08294912458537
STORE,25,93.67090000000007,274289,10.67567408875114
STORE,26,76.97330000000011,274289,12.99151783800355
STORE,27,95.41580000000022,274289,10.480444538535522
STORE,28,77.98580000000038,274289,12.822847236291672
STORE,29,93.44210000000021,274289,10.701814278574624
STORE,30,94.08070000000043,274289,10.62917261457446
STORE,31,94.8110999999999,274289,10.547288239457206
STORE,32,82.86409999999978,274289,12.067952225390762
STORE,33,89.11709999999948,274289,11.221190994769868
STORE,34,93.97229999999945,274289,10.641433699079473
STORE,35,77.72029999999995,274289,12.866651312462775
STORE,36,78.1862000000001,274289,12.789980840608685
STORE,37,94.83479999999963,274289,10.544652384989517
STORE,38,93.65599999999995,274289,10.67737251217221
STORE,39,94.28870000000006,274289,10.605724758109925
STORE,40,77.4385000000002,274289,12.91347327233866
STORE,41,93.75290000000041,274277,10.666336721317373
STORE,42,79.13559999999961,274289,12.63653779082998
STORE,43,94.78530000000046,274289,10.550159149150714
STORE,44,92.02719999999954,274289,10.866352556635483
STORE,45,91.89509999999973,274289,10.881973032294463
STORE,46,78.78859999999986,274289,12.692191509939278
STORE,47,62.11790000000019,274289,16.098419296209254
STORE,48,78.63679999999931,274289,12.716692439163454
STORE,49,78.85220000000027,274289,12.681954339891552
STORE,50,77.4957000000004,274289,12.903941767091528
STORE,51,79.34540000000015,274289,12.603125070892554
STORE,52,78.66979999999967,274289,12.711358106922914
STORE,53,62.086999999999534,274289,16.10643129801742
STORE,54,62.5583000000006,274289,15.985089108879084
STORE,55,77.94410000000062,274289,12.829707444181048
STORE,56,79.87660000000051,274289,12.519311037274917
STORE,57,77.39480000000003,274289,12.92076470253815
STORE,58,62.063200000000506,274289,16.112607793346005
STORE,59,62.145300000000134,274289,16.09132146759285
STORE,60,80.4371000000001,274289,12.43207425429309
STORE,61,76.67630000000008,274289,13.041839525381361
STORE,62,77.60249999999996,274289,12.88618279050289
STORE,63,79.41629999999986,274289,12.59187345670853
STORE,64,96.58690000000024,274289,10.353370902265189
STORE,65,94.16730000000007,274289,10.619397604051505
STORE,66,93.69819999999982,274289,10.672563613815441
STORE,67,93.76180000000022,274289,10.665324257853387
STORE,68,61.93249999999989,274289,16.14661122996814
STORE,69,84.44759999999951,274289,11.841662758918025
STORE,70,91.13370000000032,274289,10.972889282449813
STORE,71,75.77070000000003,274289,13.197713628091064
STORE,72,95.08999999999924,274289,10.516352928804375
STORE,73,93.30519999999979,274289,10.717516279907255
STORE,74,74.35420000000067,274289,13.44913938957034
STORE,75,95.52720000000045,274289,10.468222663283289
STORE,76,78.70730000000094,274289,12.705301795386045
STORE,77,76.90819999999985,274289,13.002514686340364
STORE,78,95.30740000000151,274289,10.49236470620313
STORE,79,96.33870000000024,274289,10.380044571911366
STORE,80,75.73859999999877,274289,13.203307164378748
STORE,81,93.6867000000002,274289,10.673873666166038
STORE,82,95.89969999999994,274289,10.427561295812193
STORE,83,91.63620000000083,274289,10.912717899694563
STORE,84,94.9289000000008,274289,10.53419980638132
STORE,85,94.92690000000039,274289,10.534421749788478
STORE,86,77.10409999999865,274289,12.969478925245447
STORE,87,94.32409999999982,274289,10.601744411025411
STORE,88,94.8718000000008,274289,10.540539970781534
STORE,89,77.67540000000008,274289,12.874088836362592
STORE,90,61.83250000000044,274289,16.172724699793683
STORE,91,139.41090000000077,274289,7.173040271599957
STORE,92,112.64079999999922,274289,8.87777785669142
STORE,93,80.23519999999917,274289,12.46335772827899
STORE,94,109.80639999999948,274289,9.106937300558116
STORE,95,92.39129999999932,274289,10.82352992110737
STORE,96,96.95969999999943,274289,10.3135632639128
STORE,97,76.75090000000091,274289,13.029163175936544
STORE,98,109.15389999999934,274289,9.161376735050291
STORE,99,126.7482,274289,7.889658393570875
STORE,100,89.82400000000052,274289,11.132882080512939
SELL,1,109.01799999999821,132038,9.172797152763914
SELL,2,95.00009999999929,132038,10.526304709153017
SELL,3,78.09339999999975,132038,12.80517943897952
SELL,4,93.32909999999902,132038,10.714771705716766
SELL,5,64.58400000000074,132038,15.483711135884871
SELL,6,94.83519999999953,132038,10.544607909299552
SELL,7,77.09029999999984,132038,12.971800602669882
SELL,8,93.70409999999902,132038,10.671891624806284
SELL,9,83.76469999999972,132038,11.93820308554801
SELL,10,96.05349999999999,132038,10.410864778482827
SELL,11,92.29089999999997,132038,10.835304455802255
SELL,12,93.76620000000003,132038,10.664823785116596
SELL,13,75.28119999999944,132038,13.283528955436514
SELL,14,96.39580000000024,132038,10.373895958122631
SELL,15,63.18289999999979,132038,15.827067133670713
SELL,16,92.99229999999989,132038,10.753578522092702
SELL,17,95.2427000000007,132038,10.499492349544823
SELL,18,95.81910000000062,132038,10.43633263096808
SELL,19,78.89980000000105,132038,12.674303356915818
SELL,20,95.10919999999896,132038,10.51422995882639
SELL,21,92.15630000000056,132038,10.851130090943256
SELL,22,79.08209999999963,132038,12.645086561940118
SELL,23,96.33590000000004,132038,10.38034626759079
SELL,24,93.3848999999991,132038,10.708369340225342
SELL,25,78.49250000000029,132038,12.740070707392379
SELL,26,64.6844000000001,132038,15.459678067663896
SELL,27,79.30709999999999,132038,12.609211533393607
SELL,28,62.68919999999889,132038,15.951710980520053
SELL,29,74.3755999999994,132038,13.445269685219456
SELL,30,79.3143,132038,12.608066893359709
SELL,31,104.26709999999912,132038,9.590752979607263
SELL,32,61.16439999999966,132038,16.3493797045341
SELL,33,81.79550000000017,132038,12.225611433391787
SELL,34,67.58889999999883,132038,14.79532881878559
SELL,35,77.94889999999941,132038,12.828917406146944
SELL,36,100.9429999999993,132038,9.906580941719653
SELL,37,82.14800000000105,132038,12.173150898378381
SELL,38,100.64709999999832,132038,9.935706046175365
SELL,39,93.93139999999767,132038,10.646067236302502
SELL,40,95.01880000000165,132038,10.524233099133884
SELL,41,97.28059999999823,132038,10.27954186137851
SELL,42,105.9385000000002,132038,9.439438919750591
SELL,43,97.28509999999733,132038,10.27906637295976
SELL,44,92.28989999999976,132038,10.83542186089705
SELL,45,92.14800000000105,132038,10.852107479272352
SELL,46,96.99250000000029,132038,10.310075521303162
SELL,47,104.29850000000079,132038,9.587865597299984
SELL,48,90.75699999999779,132038,11.018433839814277
SELL,49,84.16809999999896,132038,11.880985789153044
SELL,50,93.9929000000011,132038,10.639101464046629
SELL,51,83.6911,132038,11.948701833289322
SELL,52,117.15110000000277,132038,8.535984724001535
SELL,53,82.08580000000075,132038,12.182375027105675
SELL,54,83.30040000000008,132038,12.004744274937444
SELL,55,99.42510000000038,132038,10.057822421098859
SELL,56,97.625,132038,10.243277848911651
SELL,57,103.13530000000173,132038,9.696001272115204
SELL,58,97.6369999999988,132038,10.242018906767028
SELL,59,84.30630000000019,132038,11.861509756684823
SELL,60,82.7351000000017,132038,12.086768493662056
SELL,61,83.56049999999959,132038,11.96737693048755
SELL,62,102.68150000000242,132038,9.738852665767217
SELL,63,81.41660000000047,132038,12.282507498470757
SELL,64,87.49049999999988,132038,11.429812379629803
SELL,65,67.79139999999825,132038,14.751133624619433
SELL,66,100.44910000000164,132038,9.955290789066142
SELL,67,65.96589999999924,132038,15.1593474810472
SELL,68,83.30390000000261,132038,12.004239897531432
SELL,69,100.09330000000045,132038,9.990678696775863
SELL,70,83.97000000000116,132038,11.909015124449043
SELL,71,65.17949999999837,132038,15.342247178944683
SELL,72,85.19859999999971,132038,11.737282068015242
SELL,73,79.63799999999901,132038,12.556819608729658
SELL,74,68.89550000000236,132038,14.514736085810624
SELL,75,82.3784999999989,132038,12.139089689664335
SELL,76,81.30079999999725,132038,12.30000196800073
SELL,77,83.60259999999835,132038,11.961350484315318
SELL,78,84.85299999999916,132038,11.785087150719598
SELL,79,76.25269999999728,132038,13.114289723511899
SELL,80,67.8744000000006,132038,14.733095246514019
SELL,81,63.791500000003,132038,15.67606969580513
SELL,82,47.826099999998405,132038,20.909085206613824
SELL,83,82.88639999999941,132038,12.064705428152351
SELL,84,82.8702000000012,132038,12.067063914410554
SELL,85,83.80789999999979,132038,11.932049365274663
SELL,86,66.72539999999935,132038,14.986796632167206
SELL,87,84.83139999999912,132038,11.788087901413986
SELL,88,66.16469999999754,132038,15.113799352223122
SELL,89,67.31570000000283,132038,14.855375491897995
SELL,90,79.60889999999927,132038,12.561409591138794
SELL,91,65.85490000000209,132038,15.184898921719846
SELL,92,83.60570000000007,132038,11.960906971653836
SELL,93,83.4369000000006,132038,11.985104911615757
SELL,94,93.83510000000024,132038,10.656992958924725
SELL,95,90.52330000000075,132038,11.046879643141509
SELL,96,69.03029999999853,132038,14.486392207480211
SELL,97,63.90490000000136,132038,15.648252324938756
SELL,98,67.49079999999958,132038,14.816834294452077
SELL,99,86.57860000000073,132038,11.550198316905004
SELL,100,72.10540000000037,132038,13.868586818740273
TRANSFER,1,99.0038999999997,132059,10.100612198105358
TRANSFER,2,82.03229999999894,132059,12.190320154378371
TRANSFER,3,67.72980000000098,132059,14.764549725526807
TRANSFER,4,80.8125,132059,12.37432327919567
TRANSFER,5,100.1143000000011,132059,9.988583049574228
TRANSFER,6,77.54850000000079,132059,12.89515593467301
TRANSFER,7,99.00279999999839,132059,10.100724423955851
TRANSFER,8,67.31049999999959,132059,14.85652312789247
TRANSFER,9,57.91649999999936,132059,17.266236737372097
TRANSFER,10,97.28390000000218,132059,10.279193165569819
TRANSFER,11,84.10189999999784,132059,11.890337792606655
TRANSFER,12,99.9380999999994,132059,10.006193833983296
TRANSFER,13,83.18119999999908,132059,12.021947266930642
TRANSFER,14,81.63839999999982,132059,12.249137660708714
TRANSFER,15,82.80500000000029,132059,12.076565424793147
TRANSFER,16,82.38869999999952,132059,12.137586829261851
TRANSFER,17,81.34850000000006,132059,12.292789664222441
TRANSFER,18,81.89790000000357,132059,12.21032529527566
TRANSFER,19,66.59149999999863,132059,15.016931590368449
TRANSFER,20,83.14579999999842,132059,12.027065708671023
TRANSFER,21,85.13829999999871,132059,11.745595108194728
TRANSFER,22,83.84380000000237,132059,11.926940334287945
